Timestamp,Student ID,Do you understand that this is a paid course ?,Course Fee Email,Date sent,Payment,Payment Receipt Sent,How and where did you hear about this course?,Which Country are you currently residing in?,Which City are you currently residing in?,Gender,Age,Are you currently attending University / College?,Latest Degree Completed or in Progress?,Name of University or College currently or previously attended?,Discipline of Degree?,Have you taken any foundational course in data science / econometrics / statistics / computer science?,"What programming language(s) are you most comfortable in (R, Python, Java, JS, etc.)? If none please type ""None"". ",Prior Work Experience in Data Science or Machine Learning,Primary Reason for taking this course?,Do you understand that this is a paid course ?,"Prior Formal Education (course teaching or using R, university assignments, coding projects, course work, etc.) in R?","Prior Formal Education (course teaching or using Python, university assignments, coding projects, course work, etc.) in Python?",Prior Work Experience in R.,Prior Work Experience in Python.,"Personal Education or Knowledge (learning R on your own and/or doing personal projects, etc.) in R?","Personal Education or Knowledge (learning Python on your own and/or doing personal projects, etc.) in Python?",Do you have a LinkedIn Account?,"Do you have any feedback, thoughts, or comments you would like to share?"
8/25/2022 14:35:19,1,Yes,Sent,2022-08-26,Paid,Yes,Through a friend,Pakistan,Karachi,Male,23,No,Bachelors,University of Illinois,Bachelor of science in marketing and data analytics,Data Science,Have taken a course in R but not so comfortable. I have just gone through python and find it more doable.,Beginner (0 Years),"I did my major in marketing and due to my extensive interest in the field of analytics I did my minor in data analytics. The courses I took in minor helped me explore my hidden interest for analytics and data visualisation. I really love playing with the data and keenly interested in having a strong hold in this field. Hence, I believe it sounds like a great opportunity to scale my passion and career ",Yes,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Learner (1 Year or Less),Beginner (0 Years),True,
8/22/2022 5:25:04,2,No,Sent,2022-08-23,Pending,,Friend,Pakistan,Karachi,Female,32,No,Masters,Ned university,M.E.,Data Science,Python,Beginner (0 Years),Knowledge,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),None,
8/22/2022 5:26:34,3,No,Sent,2022-08-23,Pending,,WhatsApp group,Pakistan,Lahore,Male,22,No,Masters,"Univeristy of agriculture, Faislabad ",Msc,None of them,Python,Beginner (0 Years),Learning,No,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Learner (1 Year or Less),Learner (1 Year or Less),True,Good
8/22/2022 5:27:38,4,No,Sent,2022-08-23,Pending,,Whatsapp group,Pakistan,Peshawar,Male,22,Yes,Bachelors,Institute of Management Sciences Peshawar (IMScieces),Software Engineering,All of them,"R, paython",Learner (1 Year or Less),I'm planning to get my Mastet degree in Data Science so this will help me out in that and will get some knowledge and learn new things as well,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),True,No comments
8/22/2022 5:31:42,5,Yes,Sent,2022-08-23,Maybe,,Through a collegue,Pakistan,Karachi,Male,23,Yes,Bachelors,Institute of Business Administration,Computer Science,Computer Science,Java,Learner (1 Year or Less),"I am really interested in R, python and statistics. I wanted to learn and polish these tools to enhance my Data Science capabilities. ",Yes,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),None (0 Years),Beginner (0 Years),Intermediate (2-3 Years),True,Looking forward learning with you. It's an amazing opportunity for me.
8/22/2022 5:32:14,6,No,Sent,2022-08-23,Pending,,WhatsApp group,Pakistan,Karachi,Male,23,Yes,Bachelors,Institute of Business Administration,Computer Science,Computer Science,"Java, Python, JS",Learner (1 Year or Less),Learning and experience,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),True,
8/22/2022 5:34:04,7,No,Sent,2022-08-23,Pending,,LinkedIn,Pakistan,Peshawar,Male,21,Yes,Bachelors,Institute of Management Sciences Peshawar,Bachelor of Computer Science,Data Science,Python and java,Learner (1 Year or Less),I love Data science and i have completed many courses from Coursera and YouTube and more i have done many projects for my learning and this course would help to grow and excel my skills in the field of data science,No,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Intermediate (2-3 Years),Learner (1 Year or Less),Intermediate (2-3 Years),True,
8/22/2022 5:34:30,8,Yes,Sent,2022-08-23,Pending,,Group,Pakistan,KARACHI,Male,20,Yes,H.S.C,Sindh Madarsatul Islam University,Bscs,Computer Science,None,Beginner (0 Years),To learn new things,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),None,-
8/22/2022 5:37:56,9,No,Sent,2022-08-24,Pending,,linkedin,Pakistan,Islamabad,Male,20,Yes,Bachelors,bahria University Islamabad,computer science,Computer Science,"Python , JavaScript , C++ ",Intermediate (2-3 Years),Revision of my foundation skills and development of industry best practices,No,Beginner (0 Years),Learner (1 Year or Less),Intermediate (2-3 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),True,
8/22/2022 5:39:15,10,No,Sent,2022-08-24,Pending,,LinkedIn,Pakistan,Karachi,Male,24,No,Bachelors,Institute of Business Administration,Bachelors of Science in Accounting and Finance,All of them,R and Python,Beginner (0 Years),Professional growth,No,Learner (1 Year or Less),Beginner (0 Years),Some (1 Year or Less),None (0 Years),Learner (1 Year or Less),Beginner (0 Years),True,
8/22/2022 5:39:26,11,No,Sent,2022-08-24,Pending,,DataCamp group,Pakistan,Karachi,Male,19,Yes,Bachelors,Sindh Madrresatul Islam University,BS Artificial Intelligence,None of them,Python,Learner (1 Year or Less),I am currently doing BS AI and this course will help me alot to polish my skills and be more efficient to my vision,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Intermediate (2-3 Years),True,
8/22/2022 5:41:53,12,No,Sent,2022-08-24,Pending,,University friends,Pakistan,Karachi,Female,20,Yes,Bachelors,Sindh Madressatul Islam University,Bs in Artificial Intelligence (BSAI),Data Science,Python,Learner (1 Year or Less),I wnat this internship to enhance my experience and skills,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),True,No
8/22/2022 5:43:23,13,Yes,Sent,2022-08-26,Pending,,In a datacamp group,Pakistan,Karachi,Male,19,Yes,H.S.C,Sindh Muslim Government Science College,BS Artificial intelligence,Computer Science,Python,Intermediate (2-3 Years),To become professional in this course,Yes,Learner (1 Year or Less),Intermediate (2-3 Years),Some (1 Year or Less),Intermediate (2-3 Years),Beginner (0 Years),Learner (1 Year or Less),True,No
8/22/2022 5:59:06,14,Yes,Sent,2022-08-23,Pending,,Social media,Pakistan,Karachi,Male,20,Yes,H.S.C,Smiu,BS SE,Data Science,Python,Learner (1 Year or Less),Tos learn Data Science,Yes,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),None (0 Years),Beginner (0 Years),Intermediate (2-3 Years),True,Nil
8/22/2022 6:36:02,15,Yes,Sent,2022-08-24,Pending,,IBA Group on Facebook,Pakistan,Karachi,Male,28,No,Masters,KU Leuven,MSc Business Engineering (Majors:Data science and Business Analytics),All of them,Python,Learner (1 Year or Less),Develop my skillset,Yes,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),True,
8/22/2022 6:36:38,16,Yes,Sent,2022-08-24,Paid,,There is Facebook of IBA and LUMS students where I get to know about this course,Pakistan,Lahore,Male,21,No,Bachelors,LUMS,B.Sc(Honors) Economics,Econometrics,R and Python,Beginner (0 Years),I want to enter in the field of Data Science and in future I want to do Master in Data Science. I want to build my basics and to gain some work experience in this field.,Yes,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),True,
8/22/2022 6:37:18,17,No,Sent,2022-08-24,Paid,,Friend,Pakistan,Islamabad,Male,26,No,Bachelors,"COMSATS University, Islamabad",Electrical Engineering,Data Science,Python,Learner (1 Year or Less),To enhance Data science application in business,No,Learner (1 Year or Less),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),Non,
8/22/2022 6:40:24,18,No,Sent,2022-08-24,Maybe,,Facebook,Pakistan,Karachi,Male,22,Yes,Bachelors,Iba Karachi,Marketing analytics,Statisitics,R,Learner (1 Year or Less),To pursue my goal to become a marketing analyst and  and business analyst.,No,Learner (1 Year or Less),Beginner (0 Years),Some (1 Year or Less),None (0 Years),Learner (1 Year or Less),Beginner (0 Years),True,It would be a great opportunity for me to do this internship and learn the core analytical skills. Looking forward to hear from you.
